"quality","radius","falling","offset_sign","offset_power","mu","gpu_status","gpu_phi","cpu_status","cpu_phi","raw_error"
"FAST","8.0","false","-1","2","-0.9627407","0.0","1.0","0","NaN","NaN"
"FAST","8.0","false","1","2","-0.9427407","1.0","4.876464","1","4.87646583630396","1.9462282763171856E-6"
"FAST","8.0","false","-1","3","-0.9537407","0.0","1.0","0","NaN","NaN"
"FAST","8.0","false","1","3","-0.9517407","1.0","7.0119095","1","7.011915668157749","6.18329446755439E-6"
"FAST","8.0","false","-1","4","-0.9528407","0.0","1.0","0","NaN","NaN"
"FAST","8.0","false","1","4","-0.9526407","1.0","9.290754","1","9.290615984851431","1.3833338587332378E-4"
"FAST","8.0","false","-1","5","-0.9527507","0.0","1.0","0","NaN","NaN"
"FAST","8.0","false","1","5","-0.9527307","1.0","11.592338","1","11.591480650941822","8.569573955803378E-4"
"FAST","8.0","false","-1","6","-0.9527417","0.0","1.0","0","NaN","NaN"
"FAST","8.0","false","1","6","-0.9527397","1.0","13.900714","1","13.906763367596843","0.006049447003581676"
"FAST","8.0","false","-1","7","-0.9527408","0.0","1.0","0","NaN","NaN"
"FAST","8.0","false","1","7","-0.9527406","2.0","1.0","1","16.282925577917865","NaN"
"FAST","1.5","false","-1","2","-0.01","0.0","1.0","0","NaN","NaN"
"FAST","1.5","false","1","2","0.01","1.0","6.318478","1","6.318464735865341","1.3371587051835832E-5"
"FAST","1.5","false","-1","3","-0.001","0.0","1.0","0","NaN","NaN"
"FAST","1.5","false","1","3","0.001","1.0","8.6246805","1","8.624623795104394","5.672399960943153E-5"
"FAST","1.5","false","-1","4","-1.0E-4","0.0","1.0","0","NaN","NaN"
"FAST","1.5","false","1","4","1.0E-4","1.0","10.92804","1","10.9275567862135","4.8276456774942744E-4"
"FAST","1.5","false","-1","5","-1.0E-5","0.0","1.0","0","NaN","NaN"
"FAST","1.5","false","1","5","1.0E-5","1.0","13.196213","1","13.23017653702125","0.03396376846656324"
"FAST","1.5","false","-1","6","-1.0E-6","2.0","1.0","2","NaN","NaN"
"FAST","1.5","false","1","6","1.0E-6","2.0","1.0","1","15.532765072010973","NaN"
"FAST","1.5","false","-1","7","-1.0E-7","2.0","1.0","2","NaN","NaN"
"FAST","1.5","false","1","7","1.0E-7","2.0","1.0","1","17.835350532087748","NaN"
"FAST","1.05","false","-1","2","0.8316977","0.0","1.0","0","NaN","NaN"
"FAST","1.05","false","1","2","0.85169774","1.0","4.7587953","1","4.758786515074782","8.746308274965031E-6"
"FAST","1.05","false","-1","3","0.8406977","0.0","1.0","0","NaN","NaN"
"FAST","1.05","false","1","3","0.84269774","1.0","7.128031","1","7.1279114823509","1.1929462663928803E-4"
"FAST","1.05","false","-1","4","0.84159774","0.0","1.0","0","NaN","NaN"
"FAST","1.05","false","1","4","0.8417977","1.0","9.44035","1","9.438754152687979","0.0015954261694428595"
"FAST","1.05","false","-1","5","0.84168774","0.0","1.0","0","NaN","NaN"
"FAST","1.05","false","1","5","0.8417077","1.0","11.752796","1","11.743405937650166","0.009390235445536632"
"FAST","1.05","false","-1","6","0.84169674","0.0","1.0","0","NaN","NaN"
"FAST","1.05","false","1","6","0.8416987","1.0","14.0891285","1","14.057048715853432","0.03207977840926368"
"FAST","1.05","false","-1","7","0.84169763","0.0","1.0","0","NaN","NaN"
"FAST","1.05","false","1","7","0.8416978","2.0","1.0","1","16.41062589617966","NaN"
"FAST","8.0","true","-1","2","-0.9871472","0.0","1.0","0","NaN","NaN"
"FAST","8.0","true","1","2","-0.96714723","1.0","4.306255","1","4.306255396423116","5.326841021613404E-7"
"FAST","8.0","true","-1","3","-0.9781472","0.0","1.0","0","NaN","NaN"
"FAST","8.0","true","1","3","-0.97614723","1.0","6.322297","1","6.32229973987533","2.643622888598429E-6"
"FAST","8.0","true","-1","4","-0.97724724","0.0","1.0","0","NaN","NaN"
"FAST","8.0","true","1","4","-0.9770472","1.0","8.579483","1","8.579368215126388","1.1481710017413604E-4"
"FAST","8.0","true","-1","5","-0.97715724","0.0","1.0","0","NaN","NaN"
"FAST","8.0","true","1","5","-0.9771372","1.0","10.875153","1","10.874773834917322","3.7875297330280944E-4"
"FAST","8.0","true","-1","6","-0.97714823","0.0","1.0","0","NaN","NaN"
"FAST","8.0","true","1","6","-0.9771462","1.0","13.167107","1","13.163236331536439","0.0038702968815300665"
