pass,metric,mean,p50,p95,p99,max,total,positivePixels
probe,orbitSteps,52.27302788628472,63.0,82.0,116.0,800.0,9.6349645E7,1843200
probe,chords,52.27302788628472,63.0,82.0,116.0,800.0,9.6349645E7,1843200
probe,terrainNodes,243.0774978298611,182.0,558.0,835.0,1398.0,4.48040444E8,1843200
probe,movingNodes,34.59558919270833,36.0,80.0,93.0,232.0,6.376659E7,1843200
probe,terrainTriangles,4.545788845486111,0.0,16.0,32.0,146.0,8378798.0,752345
probe,movingTriangles,31.969000108506943,24.0,104.0,128.0,236.0,5.8925261E7,930322
probe,terrainCandidates,0.4410275607638889,0.0,1.0,2.0,13.0,812902.0,750779
probe,movingCandidates,1.0597140842013888,1.0,3.0,5.0,24.0,1953265.0,929648
probe,terrainReuse,43.740423177083336,51.0,75.0,103.0,772.0,8.0622348E7,1831921
probe,movingReuse,48.80704372829861,59.0,80.0,112.0,796.0,8.9961143E7,1843200
probe,terrainLeaves,0.65962890625,0.0,3.0,5.0,26.0,1215828.0,752345
probe,movingLeaves,4.866869032118055,4.0,16.0,19.0,39.0,8970613.0,930322
probe,transparentContinuations,0.0,0.0,0.0,0.0,0.0,0.0,0
probe,probePending,4.0093315972222223E-4,0.0,0.0,0.0,1.0,739.0,739
probe,rays,1.0,1.0,1.0,1.0,1.0,1843200.0,1843200
probe,exhausted,5.425347222222222E-7,0.0,0.0,0.0,1.0,1.0,1
probe,cloudTriangles,31.920496961805554,18.0,103.0,128.0,236.0,5.883586E7,928034
probe,actorTriangles,0.04850314670138889,0.0,0.0,0.0,211.0,89401.0,2811
probe,cloudCandidates,1.0573600260416667,1.0,3.0,5.0,6.0,1948926.0,928030
probe,actorCandidates,0.002354058159722222,0.0,0.0,0.0,24.0,4339.0,1842
mask,orbitSteps,0.013681098090277777,0.0,0.0,0.0,40.0,25217.0,739
mask,chords,0.014475911458333334,0.0,0.0,0.0,44.0,26682.0,739
mask,terrainNodes,0.264306640625,0.0,0.0,0.0,1503.0,487170.0,739
mask,movingNodes,0.025342881944444444,0.0,0.0,0.0,118.0,46712.0,739
mask,terrainTriangles,0.03637261284722222,0.0,0.0,0.0,384.0,67042.0,739
mask,movingTriangles,0.02544704861111111,0.0,0.0,0.0,148.0,46904.0,739
mask,terrainCandidates,0.0022591145833333335,0.0,0.0,0.0,25.0,4164.0,739
mask,movingCandidates,7.725694444444444E-4,0.0,0.0,0.0,5.0,1424.0,739
mask,terrainReuse,0.00940700954861111,0.0,0.0,0.0,27.0,17339.0,739
mask,movingReuse,0.012627495659722222,0.0,0.0,0.0,39.0,23275.0,739
mask,terrainLeaves,0.005738932291666667,0.0,0.0,0.0,59.0,10578.0,739
mask,movingLeaves,0.0039501953125,0.0,0.0,0.0,21.0,7281.0,739
mask,transparentContinuations,7.948133680555556E-4,0.0,0.0,0.0,5.0,1465.0,739
mask,probePending,1.8446180555555556E-5,0.0,0.0,0.0,1.0,34.0,34
mask,rays,4.0093315972222223E-4,0.0,0.0,0.0,1.0,739.0,739
mask,exhausted,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,cloudTriangles,0.02544704861111111,0.0,0.0,0.0,148.0,46904.0,739
mask,actorTriangles,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,cloudCandidates,7.725694444444444E-4,0.0,0.0,0.0,5.0,1424.0,739
mask,actorCandidates,0.0,0.0,0.0,0.0,0.0,0.0,0
full,orbitSteps,52.27307834201389,63.0,82.0,116.0,800.0,9.6349738E7,1843200
full,chords,52.397447916666664,63.0,82.0,116.0,800.0,9.6578976E7,1843200
full,terrainNodes,244.49372884114584,182.0,570.0,842.0,1503.0,4.50650841E8,1843200
full,movingNodes,34.68875271267361,36.0,80.0,96.0,232.0,6.3938309E7,1843200
full,terrainTriangles,4.6336881510416665,0.0,18.0,32.0,384.0,8540814.0,752345
full,movingTriangles,31.69173828125,18.0,103.0,128.0,272.0,5.8414212E7,930322
full,terrainCandidates,0.44805881076388887,0.0,1.0,2.0,25.0,825862.0,750779
full,movingCandidates,1.0065234375,1.0,3.0,5.0,24.0,1855224.0,929648
full,terrainReuse,43.83916395399306,51.0,75.0,103.0,772.0,8.0804347E7,1831921
full,movingReuse,48.90068630642361,59.0,80.0,112.0,796.0,9.0133745E7,1843200
full,terrainLeaves,0.6733865017361111,0.0,3.0,5.0,59.0,1241186.0,752345
full,movingLeaves,4.821646592881945,3.0,16.0,19.0,45.0,8887259.0,930322
full,transparentContinuations,0.12436957465277777,0.0,1.0,1.0,5.0,229238.0,228512
full,probePending,1.8446180555555556E-5,0.0,0.0,0.0,1.0,34.0,34
full,rays,1.0,1.0,1.0,1.0,1.0,1843200.0,1843200
full,exhausted,5.425347222222222E-7,0.0,0.0,0.0,1.0,1.0,1
full,cloudTriangles,31.641408962673612,18.0,103.0,128.0,236.0,5.8321445E7,928034
full,actorTriangles,0.050329318576388886,0.0,0.0,0.0,230.0,92767.0,2811
full,cloudCandidates,1.0041048177083334,1.0,3.0,5.0,5.0,1850766.0,928030
full,actorCandidates,0.0024186197916666666,0.0,0.0,0.0,24.0,4458.0,1842
