pass,metric,mean,p50,p95,p99,max,total,positivePixels
probe,orbitSteps,52.30593153211805,63.0,82.0,116.0,800.0,9.6410293E7,1843200
probe,chords,52.30593153211805,63.0,82.0,116.0,800.0,9.6410293E7,1843200
probe,terrainNodes,243.10204752604167,182.0,558.0,835.0,1398.0,4.48085694E8,1843200
probe,movingNodes,79.91042914496528,83.0,137.0,156.0,830.0,1.47290903E8,1843200
probe,terrainTriangles,4.548617621527778,0.0,16.0,32.0,146.0,8384012.0,752488
probe,movingTriangles,34.05601291232639,24.0,108.0,132.0,256.0,6.2772043E7,928558
probe,terrainCandidates,0.44122287326388887,0.0,1.0,2.0,13.0,813262.0,751060
probe,movingCandidates,1.0576057942708332,1.0,3.0,5.0,8.0,1949379.0,928382
probe,terrainReuse,43.77288031684028,51.0,75.0,103.0,772.0,8.0682173E7,1831921
probe,movingReuse,49.521021592881944,60.0,80.0,112.0,796.0,9.1277147E7,1843200
probe,terrainLeaves,0.6600754123263889,0.0,3.0,5.0,26.0,1216651.0,752488
probe,movingLeaves,5.4475732421875,4.0,18.0,21.0,39.0,1.0040967E7,928558
probe,transparentContinuations,0.0,0.0,0.0,0.0,0.0,0.0,0
probe,probePending,4.0093315972222223E-4,0.0,0.0,0.0,1.0,739.0,739
probe,rays,1.0,1.0,1.0,1.0,1.0,1843200.0,1843200
probe,exhausted,5.425347222222222E-7,0.0,0.0,0.0,1.0,1.0,1
probe,cloudTriangles,34.034625651041665,24.0,108.0,132.0,256.0,6.2732622E7,927907
probe,actorTriangles,0.021387261284722223,0.0,0.0,0.0,129.0,39421.0,1105
probe,cloudCandidates,1.056794704861111,1.0,3.0,5.0,5.0,1947884.0,927904
probe,actorCandidates,8.110894097222223E-4,0.0,0.0,0.0,7.0,1495.0,683
mask,orbitSteps,0.013681098090277777,0.0,0.0,0.0,40.0,25217.0,739
mask,chords,0.014475911458333334,0.0,0.0,0.0,44.0,26682.0,739
mask,terrainNodes,0.264306640625,0.0,0.0,0.0,1503.0,487170.0,739
mask,movingNodes,0.03881293402777778,0.0,0.0,0.0,149.0,71540.0,739
mask,terrainTriangles,0.03637261284722222,0.0,0.0,0.0,384.0,67042.0,739
mask,movingTriangles,0.027310655381944444,0.0,0.0,0.0,160.0,50339.0,739
mask,terrainCandidates,0.0022591145833333335,0.0,0.0,0.0,25.0,4164.0,739
mask,movingCandidates,7.562934027777778E-4,0.0,0.0,0.0,5.0,1394.0,739
mask,terrainReuse,0.00940700954861111,0.0,0.0,0.0,27.0,17339.0,739
mask,movingReuse,0.012817925347222222,0.0,0.0,0.0,40.0,23626.0,739
mask,terrainLeaves,0.005738932291666667,0.0,0.0,0.0,59.0,10578.0,739
mask,movingLeaves,0.004423285590277778,0.0,0.0,0.0,25.0,8153.0,739
mask,transparentContinuations,7.948133680555556E-4,0.0,0.0,0.0,5.0,1465.0,739
mask,probePending,1.8446180555555556E-5,0.0,0.0,0.0,1.0,34.0,34
mask,rays,4.0093315972222223E-4,0.0,0.0,0.0,1.0,739.0,739
mask,exhausted,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,cloudTriangles,0.027310655381944444,0.0,0.0,0.0,160.0,50339.0,739
mask,actorTriangles,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,cloudCandidates,7.562934027777778E-4,0.0,0.0,0.0,5.0,1394.0,739
mask,actorCandidates,0.0,0.0,0.0,0.0,0.0,0.0,0
full,orbitSteps,52.305981987847225,63.0,82.0,116.0,800.0,9.6410386E7,1843200
full,chords,52.4308056640625,63.0,82.0,116.0,800.0,9.6640461E7,1843200
full,terrainNodes,244.5292111545139,182.0,570.0,841.0,1503.0,4.50716242E8,1843200
full,movingNodes,79.89482855902777,83.0,137.0,156.0,830.0,1.47262148E8,1843200
full,terrainTriangles,4.638135850694445,0.0,18.0,32.0,384.0,8549012.0,752488
full,movingTriangles,33.777271050347224,24.0,108.0,132.0,300.0,6.2258266E7,928558
full,terrainCandidates,0.4484819878472222,0.0,1.0,2.0,25.0,826642.0,751060
full,movingCandidates,1.0147298177083333,1.0,3.0,5.0,15.0,1870350.0,928382
full,terrainReuse,43.872029079861115,51.0,75.0,103.0,772.0,8.0864924E7,1831921
full,movingReuse,49.63379123263889,60.0,80.0,112.0,796.0,9.1485004E7,1843200
full,terrainLeaves,0.6740885416666667,0.0,3.0,5.0,59.0,1242480.0,752488
full,movingLeaves,5.402847764756944,4.0,17.0,21.0,53.0,9958529.0,928558
full,transparentContinuations,0.12482367621527778,0.0,1.0,1.0,5.0,230075.0,229349
full,probePending,1.8446180555555556E-5,0.0,0.0,0.0,1.0,34.0,34
full,rays,1.0,1.0,1.0,1.0,1.0,1843200.0,1843200
full,exhausted,5.425347222222222E-7,0.0,0.0,0.0,1.0,1.0,1
full,cloudTriangles,33.75080132378472,24.0,108.0,132.0,256.0,6.2209477E7,927907
full,actorTriangles,0.0264697265625,0.0,0.0,0.0,258.0,48789.0,1105
full,cloudCandidates,1.0136990017361112,1.0,3.0,5.0,5.0,1868450.0,927904
full,actorCandidates,0.0010308159722222222,0.0,0.0,0.0,14.0,1900.0,683
