pass,metric,mean,p50,p95,p99,max,total,positivePixels
probe,orbitSteps,52.31069878472222,63.0,82.0,116.0,800.0,9.641908E7,1843200
probe,chords,52.31069878472222,63.0,82.0,116.0,800.0,9.641908E7,1843200
probe,terrainNodes,243.09164225260417,182.0,558.0,835.0,1398.0,4.48066515E8,1843200
probe,movingNodes,83.24793836805556,85.0,179.0,204.0,331.0,1.534426E8,1843200
probe,terrainTriangles,4.548060980902778,0.0,16.0,32.0,146.0,8382986.0,752432
probe,movingTriangles,42.858280707465276,34.0,134.0,164.0,265.0,7.8996383E7,935900
probe,terrainCandidates,0.44117784288194445,0.0,1.0,2.0,13.0,813179.0,750970
probe,movingCandidates,1.0577978515625,1.0,3.0,5.0,11.0,1949733.0,928418
probe,terrainReuse,43.77774739583333,51.0,75.0,103.0,772.0,8.0691144E7,1831921
probe,movingReuse,47.759198133680556,57.0,80.0,113.0,797.0,8.8029754E7,1843200
probe,terrainLeaves,0.6599869791666667,0.0,3.0,5.0,26.0,1216488.0,752432
probe,movingLeaves,6.636697048611111,5.0,20.0,24.0,43.0,1.223276E7,935900
probe,transparentContinuations,0.0,0.0,0.0,0.0,0.0,0.0,0
probe,probePending,4.0093315972222223E-4,0.0,0.0,0.0,1.0,739.0,739
probe,rays,1.0,1.0,1.0,1.0,1.0,1843200.0,1843200
probe,exhausted,5.425347222222222E-7,0.0,0.0,0.0,1.0,1.0,1
probe,cloudTriangles,38.006436089409725,21.0,122.0,144.0,228.0,7.0053463E7,935515
probe,actorTriangles,4.851844618055556,0.0,32.0,54.0,223.0,8942920.0,283375
probe,cloudCandidates,1.0565977647569444,1.0,3.0,5.0,5.0,1947521.0,927778
probe,actorCandidates,0.0012000868055555556,0.0,0.0,0.0,10.0,2212.0,1022
mask,orbitSteps,0.013681098090277777,0.0,0.0,0.0,40.0,25217.0,739
mask,chords,0.014475911458333334,0.0,0.0,0.0,44.0,26682.0,739
mask,terrainNodes,0.264306640625,0.0,0.0,0.0,1503.0,487170.0,739
mask,movingNodes,0.06606879340277778,0.0,0.0,0.0,201.0,121778.0,739
mask,terrainTriangles,0.03637261284722222,0.0,0.0,0.0,384.0,67042.0,739
mask,movingTriangles,0.04225965711805556,0.0,0.0,0.0,186.0,77893.0,739
mask,terrainCandidates,0.0022591145833333335,0.0,0.0,0.0,25.0,4164.0,739
mask,movingCandidates,7.590060763888889E-4,0.0,0.0,0.0,5.0,1399.0,739
mask,terrainReuse,0.00940700954861111,0.0,0.0,0.0,27.0,17339.0,739
mask,movingReuse,0.012158203125,0.0,0.0,0.0,37.0,22410.0,739
mask,terrainLeaves,0.005738932291666667,0.0,0.0,0.0,59.0,10578.0,739
mask,movingLeaves,0.006138780381944445,0.0,0.0,0.0,29.0,11315.0,739
mask,transparentContinuations,7.948133680555556E-4,0.0,0.0,0.0,5.0,1465.0,739
mask,probePending,1.8446180555555556E-5,0.0,0.0,0.0,1.0,34.0,34
mask,rays,4.0093315972222223E-4,0.0,0.0,0.0,1.0,739.0,739
mask,exhausted,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,cloudTriangles,0.027815755208333334,0.0,0.0,0.0,170.0,51270.0,739
mask,actorTriangles,0.014443901909722221,0.0,0.0,0.0,64.0,26623.0,739
mask,cloudCandidates,7.590060763888889E-4,0.0,0.0,0.0,5.0,1399.0,739
mask,actorCandidates,0.0,0.0,0.0,0.0,0.0,0.0,0
full,orbitSteps,52.310749240451386,63.0,82.0,116.0,800.0,9.6419173E7,1843200
full,chords,52.43560709635417,63.0,82.0,116.0,800.0,9.6649311E7,1843200
full,terrainNodes,244.51639431423612,182.0,570.0,841.0,1503.0,4.50692618E8,1843200
full,movingNodes,87.32032497829861,86.0,185.0,229.0,405.0,1.60948823E8,1843200
full,terrainTriangles,4.637680121527778,0.0,18.0,32.0,384.0,8548172.0,752432
full,movingTriangles,49.20045518663194,34.0,154.0,200.0,402.0,9.0686279E7,935900
full,terrainCandidates,0.44847601996527775,0.0,1.0,2.0,25.0,826631.0,750970
full,movingCandidates,1.0101643880208333,1.0,3.0,5.0,21.0,1861935.0,928418
full,terrainReuse,43.87699055989583,51.0,75.0,103.0,772.0,8.0874069E7,1831921
full,movingReuse,47.760004340277774,57.0,80.0,113.0,797.0,8.803124E7,1843200
full,terrainLeaves,0.6740212673611111,0.0,3.0,5.0,59.0,1242356.0,752432
full,movingLeaves,7.645031467013889,6.0,24.0,30.0,64.0,1.4091322E7,935900
full,transparentContinuations,0.12485785590277777,0.0,1.0,1.0,5.0,230138.0,229412
full,probePending,1.8446180555555556E-5,0.0,0.0,0.0,1.0,34.0,34
full,rays,1.0,1.0,1.0,1.0,1.0,1843200.0,1843200
full,exhausted,5.425347222222222E-7,0.0,0.0,0.0,1.0,1.0,1
full,cloudTriangles,43.96189019097222,21.0,141.0,183.0,256.0,8.1030556E7,935515
full,actorTriangles,5.238564995659722,0.0,33.0,64.0,324.0,9655723.0,283375
full,cloudCandidates,1.0088823784722223,1.0,3.0,5.0,5.0,1859572.0,927778
full,actorCandidates,0.0012820095486111112,0.0,0.0,0.0,20.0,2363.0,1022
