pass,metric,mean,p50,p95,p99,max,total,positivePixels
probe,orbitSteps,52.31069878472222,63.0,82.0,116.0,800.0,9.641908E7,1843200
probe,chords,52.31069878472222,63.0,82.0,116.0,800.0,9.641908E7,1843200
probe,terrainNodes,243.09164225260417,182.0,558.0,835.0,1398.0,4.48066515E8,1843200
probe,movingNodes,34.77896321614583,36.0,82.0,94.0,194.0,6.4104585E7,1843200
probe,terrainTriangles,4.548060980902778,0.0,16.0,32.0,146.0,8382986.0,752432
probe,movingTriangles,35.80413682725695,24.0,124.0,134.0,250.0,6.5994185E7,928604
probe,terrainCandidates,0.44117784288194445,0.0,1.0,2.0,13.0,813179.0,750970
probe,movingCandidates,1.0578038194444443,1.0,3.0,5.0,12.0,1949744.0,928418
probe,terrainReuse,43.77774739583333,51.0,75.0,103.0,772.0,8.0691144E7,1831921
probe,movingReuse,48.90314344618056,59.0,80.0,112.0,796.0,9.0138274E7,1843200
probe,terrainLeaves,0.6599869791666667,0.0,3.0,5.0,26.0,1216488.0,752432
probe,movingLeaves,5.5673095703125,4.0,18.0,22.0,35.0,1.0261665E7,928604
probe,transparentContinuations,0.0,0.0,0.0,0.0,0.0,0.0,0
probe,probePending,4.0093315972222223E-4,0.0,0.0,0.0,1.0,739.0,739
probe,rays,1.0,1.0,1.0,1.0,1.0,1843200.0,1843200
probe,exhausted,5.425347222222222E-7,0.0,0.0,0.0,1.0,1.0,1
probe,cloudTriangles,35.77288302951389,24.0,124.0,134.0,250.0,6.5936578E7,927738
probe,actorTriangles,0.031253797743055554,0.0,0.0,0.0,207.0,57607.0,1655
probe,cloudCandidates,1.0565738932291666,1.0,3.0,5.0,5.0,1947477.0,927734
probe,actorCandidates,0.0012299262152777777,0.0,0.0,0.0,11.0,2267.0,1022
mask,orbitSteps,0.013681098090277777,0.0,0.0,0.0,40.0,25217.0,739
mask,chords,0.014475911458333334,0.0,0.0,0.0,44.0,26682.0,739
mask,terrainNodes,0.264306640625,0.0,0.0,0.0,1503.0,487170.0,739
mask,movingNodes,0.026852213541666666,0.0,0.0,0.0,120.0,49494.0,739
mask,terrainTriangles,0.03637261284722222,0.0,0.0,0.0,384.0,67042.0,739
mask,movingTriangles,0.028486328125,0.0,0.0,0.0,172.0,52506.0,739
mask,terrainCandidates,0.0022591145833333335,0.0,0.0,0.0,25.0,4164.0,739
mask,movingCandidates,7.590060763888889E-4,0.0,0.0,0.0,5.0,1399.0,739
mask,terrainReuse,0.00940700954861111,0.0,0.0,0.0,27.0,17339.0,739
mask,movingReuse,0.0126123046875,0.0,0.0,0.0,39.0,23247.0,739
mask,terrainLeaves,0.005738932291666667,0.0,0.0,0.0,59.0,10578.0,739
mask,movingLeaves,0.0044563802083333335,0.0,0.0,0.0,25.0,8214.0,739
mask,transparentContinuations,7.948133680555556E-4,0.0,0.0,0.0,5.0,1465.0,739
mask,probePending,1.8446180555555556E-5,0.0,0.0,0.0,1.0,34.0,34
mask,rays,4.0093315972222223E-4,0.0,0.0,0.0,1.0,739.0,739
mask,exhausted,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,cloudTriangles,0.028486328125,0.0,0.0,0.0,172.0,52506.0,739
mask,actorTriangles,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,cloudCandidates,7.590060763888889E-4,0.0,0.0,0.0,5.0,1399.0,739
mask,actorCandidates,0.0,0.0,0.0,0.0,0.0,0.0,0
full,orbitSteps,52.310749240451386,63.0,82.0,116.0,800.0,9.6419173E7,1843200
full,chords,52.43560709635417,63.0,82.0,116.0,800.0,9.6649311E7,1843200
full,terrainNodes,244.51639431423612,182.0,570.0,841.0,1503.0,4.50692618E8,1843200
full,movingNodes,34.86313042534722,36.0,82.0,96.0,225.0,6.4259722E7,1843200
full,terrainTriangles,4.637680121527778,0.0,18.0,32.0,384.0,8548172.0,752432
full,movingTriangles,35.51533528645833,24.0,124.0,134.0,338.0,6.5461866E7,928604
full,terrainCandidates,0.44847601996527775,0.0,1.0,2.0,25.0,826631.0,750970
full,movingCandidates,1.0109814453125,1.0,3.0,5.0,23.0,1863441.0,928418
full,terrainReuse,43.87699055989583,51.0,75.0,103.0,772.0,8.0874069E7,1831921
full,movingReuse,48.99905490451389,59.0,80.0,112.0,796.0,9.0315058E7,1843200
full,terrainLeaves,0.6740212673611111,0.0,3.0,5.0,59.0,1242356.0,752432
full,movingLeaves,5.521048719618055,4.0,18.0,22.0,59.0,1.0176397E7,928604
full,transparentContinuations,0.12485785590277777,0.0,1.0,1.0,5.0,230138.0,229412
full,probePending,1.8446180555555556E-5,0.0,0.0,0.0,1.0,34.0,34
full,rays,1.0,1.0,1.0,1.0,1.0,1843200.0,1843200
full,exhausted,5.425347222222222E-7,0.0,0.0,0.0,1.0,1.0,1
full,cloudTriangles,35.47774576822917,24.0,124.0,132.0,250.0,6.5392581E7,927738
full,actorTriangles,0.03758951822916667,0.0,0.0,0.0,296.0,69285.0,1655
full,cloudCandidates,1.0094829644097223,1.0,3.0,5.0,5.0,1860679.0,927734
full,actorCandidates,0.0014984809027777778,0.0,0.0,0.0,22.0,2762.0,1022
