pass,metric,mean,p50,p95,p99,max,total,positivePixels
probe,orbitSteps,52.27917317708334,63.0,82.0,116.0,800.0,9.6360972E7,1843200
probe,chords,52.27917317708334,63.0,82.0,116.0,800.0,9.6360972E7,1843200
probe,terrainNodes,243.9881011284722,182.0,561.0,838.0,1398.0,4.49718868E8,1843200
probe,movingNodes,33.73731716579861,33.0,82.0,92.0,290.0,6.2184623E7,1843200
probe,terrainTriangles,4.547420789930555,0.0,16.0,32.0,158.0,8381806.0,752363
probe,movingTriangles,34.83890407986111,30.0,116.0,132.0,332.0,6.4215068E7,930352
probe,terrainCandidates,0.4409646267361111,0.0,1.0,2.0,13.0,812786.0,750742
probe,movingCandidates,1.0595627170138888,1.0,3.0,5.0,23.0,1952986.0,929321
probe,terrainReuse,43.70970269097222,51.0,75.0,103.0,771.0,8.0565724E7,1831919
probe,movingReuse,48.94032335069444,59.0,80.0,112.0,796.0,9.0206804E7,1843200
probe,terrainLeaves,0.6599235026041667,0.0,3.0,5.0,27.0,1216371.0,752363
probe,movingLeaves,5.291254340277778,5.0,16.0,20.0,57.0,9752840.0,930352
probe,transparentContinuations,0.0,0.0,0.0,0.0,0.0,0.0,0
probe,probePending,4.0093315972222223E-4,0.0,0.0,0.0,1.0,739.0,739
probe,rays,1.0,1.0,1.0,1.0,1.0,1843200.0,1843200
probe,exhausted,5.425347222222222E-7,0.0,0.0,0.0,1.0,1.0,1
probe,cloudTriangles,34.7779296875,30.0,116.0,132.0,297.0,6.410268E7,928038
probe,actorTriangles,0.06097439236111111,0.0,0.0,0.0,278.0,112388.0,3195
probe,cloudCandidates,1.0572781032986112,1.0,3.0,5.0,5.0,1948775.0,927903
probe,actorCandidates,0.002284613715277778,0.0,0.0,0.0,23.0,4211.0,1730
mask,orbitSteps,0.013681098090277777,0.0,0.0,0.0,40.0,25217.0,739
mask,chords,0.014475911458333334,0.0,0.0,0.0,44.0,26682.0,739
mask,terrainNodes,0.26519802517361113,0.0,0.0,0.0,1503.0,488813.0,739
mask,movingNodes,0.026370442708333334,0.0,0.0,0.0,114.0,48606.0,739
mask,terrainTriangles,0.03769965277777778,0.0,0.0,0.0,398.0,69488.0,739
mask,movingTriangles,0.029905598958333335,0.0,0.0,0.0,180.0,55122.0,739
mask,terrainCandidates,0.0022591145833333335,0.0,0.0,0.0,25.0,4164.0,739
mask,movingCandidates,7.693142361111111E-4,0.0,0.0,0.0,5.0,1418.0,739
mask,terrainReuse,0.009380967881944445,0.0,0.0,0.0,27.0,17291.0,739
mask,movingReuse,0.012703993055555555,0.0,0.0,0.0,39.0,23416.0,739
mask,terrainLeaves,0.005992296006944444,0.0,0.0,0.0,64.0,11045.0,739
mask,movingLeaves,0.004500868055555556,0.0,0.0,0.0,26.0,8296.0,739
mask,transparentContinuations,7.948133680555556E-4,0.0,0.0,0.0,5.0,1465.0,739
mask,probePending,1.8446180555555556E-5,0.0,0.0,0.0,1.0,34.0,34
mask,rays,4.0093315972222223E-4,0.0,0.0,0.0,1.0,739.0,739
mask,exhausted,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,cloudTriangles,0.029905598958333335,0.0,0.0,0.0,180.0,55122.0,739
mask,actorTriangles,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,cloudCandidates,7.693142361111111E-4,0.0,0.0,0.0,5.0,1418.0,739
mask,actorCandidates,0.0,0.0,0.0,0.0,0.0,0.0,0
full,orbitSteps,52.2792236328125,63.0,82.0,116.0,800.0,9.6361065E7,1843200
full,chords,52.40362250434028,63.0,82.0,116.0,800.0,9.6590357E7,1843200
full,terrainNodes,245.4065673828125,182.0,572.0,845.0,1503.0,4.52333385E8,1843200
full,movingNodes,33.810811089409725,33.0,82.0,94.0,290.0,6.2320087E7,1843200
full,terrainTriangles,4.6358843315972225,0.0,18.0,32.0,398.0,8544862.0,752363
full,movingTriangles,34.55740939670139,30.0,116.0,132.0,342.0,6.3696217E7,930352
full,terrainCandidates,0.44797688802083335,0.0,1.0,2.0,25.0,825711.0,750742
full,movingCandidates,1.0144623480902777,1.0,3.0,5.0,23.0,1869857.0,929321
full,terrainReuse,43.80844780815972,51.0,75.0,103.0,771.0,8.0747731E7,1831919
full,movingReuse,49.037142469618054,59.0,80.0,112.0,796.0,9.0385261E7,1843200
full,terrainLeaves,0.6738129340277778,0.0,3.0,5.0,64.0,1241972.0,752363
full,movingLeaves,5.246384006076389,5.0,16.0,20.0,62.0,9670135.0,930352
full,transparentContinuations,0.12439887152777777,0.0,1.0,1.0,5.0,229292.0,228566
full,probePending,1.8446180555555556E-5,0.0,0.0,0.0,1.0,34.0,34
full,rays,1.0,1.0,1.0,1.0,1.0,1843200.0,1843200
full,exhausted,5.425347222222222E-7,0.0,0.0,0.0,1.0,1.0,1
full,cloudTriangles,34.49205186631944,30.0,115.0,132.0,297.0,6.357575E7,928038
full,actorTriangles,0.06535753038194445,0.0,0.0,0.0,278.0,120467.0,3195
full,cloudCandidates,1.0120589192708334,1.0,3.0,5.0,5.0,1865427.0,927903
full,actorCandidates,0.0024034288194444446,0.0,0.0,0.0,23.0,4430.0,1730
