"label","gpu50","gpu95","gpu99","frame50","frame95","frame99","jfrOverlap"
"wall-normal","15.973056","17.767328","18.44752","16.5098","18.7191","19.2156","False"
"wall-stages","15.93904","17.804992","18.227104","16.5427","18.4387","19.1358","False"
"down-normal","27.197248","28.1968","28.446432","27.8502","28.8708","29.2492","False"
"down-stages","27.08256","27.928224","28.349952","27.8183","28.6749","29.0705","False"
"down-no-moving","15.887552","16.466752","16.65696","16.38","17.2967","17.6558","False"
"down-no-light","26.090976","27.06176","27.41872","26.7334","27.753","28.0254","False"
"down-normal-repeat","27.189024","28.086656","28.42736","27.9108","28.807301","29.2339","False"
"down-full","27.28416","28.103328","28.429728","27.919199","28.9429","29.2221","False"
"down-full-stages","27.201952","28.177504","28.517536","27.810501","28.95","29.414","False"
"wall-no-light","15.747904","17.734048","17.9736","16.4048","18.6719","19.1742","False"
"wall-no-moving","10.124928","11.29504","11.481184","10.764501","11.8112","12.170199","False"
"wall-normal-repeat","16.042592","17.924224","18.457216","16.6534","18.6843","19.5347","False"
"wall-normal2","15.742208","17.69264","17.922432","16.3588","18.5385","18.9712","False"
"wall-actors-only","14.476992","15.563264","15.8048","15.0195","16.2808","16.7338","False"
"wall-clouds-only","13.290432","14.599872","14.850752","13.8463","15.2605","15.5718","False"
"down-normal2","27.008896","27.849504","28.3744","27.6281","28.5462","29.0188","False"
"down-actors-only","21.99904","22.857184","23.113888","22.5995","23.5852","23.8863","False"
"down-clouds-only","23.100256","23.796064","24.144064","23.6863","24.438","24.8015","False"
"down-normal2-repeat","27.010016","27.893088","28.431328","27.6485","28.6567","29.1357","False"
"live-down","27.929856","29.069984","29.610048","29.0189","31.1369","33.179","False"
"live-down-stages","27.687904","28.781216","29.425792","28.8269","30.9516","33.0284","False"
"live-down-repeat","27.512384","29.254336","33.442112","28.6932","31.1385","33.7253","True"
"live-wall-stages","18.405568","22.871712","23.848384","19.6628","24.4929","25.6452","True"
