pass,metric,mean,p50,p95,p99,max,total,positivePixels
probe,orbitSteps,57.54833767361111,72.0,85.0,114.0,795.0,1.06073096E8,1843200
probe,chords,57.54833767361111,72.0,85.0,114.0,795.0,1.06073096E8,1843200
probe,terrainNodes,131.9274777560764,90.0,391.0,495.0,1017.0,2.43168727E8,1843200
probe,movingNodes,60.563389214409725,51.0,148.0,185.0,768.0,1.11630439E8,1843200
probe,terrainTriangles,3.1662825520833335,0.0,16.0,20.0,108.0,5836092.0,611819
probe,movingTriangles,5.121390516493055,0.0,59.0,96.0,208.0,9439747.0,147282
probe,terrainCandidates,0.33159993489583334,0.0,1.0,1.0,3.0,611205.0,610221
probe,movingCandidates,0.17271104600694445,0.0,2.0,3.0,10.0,318341.0,137079
probe,terrainReuse,51.98145345052083,68.0,80.0,100.0,767.0,9.5812215E7,1834285
probe,movingReuse,53.740749240451386,68.0,82.0,109.0,776.0,9.9054949E7,1843006
probe,terrainLeaves,0.4168896484375,0.0,2.0,3.0,16.0,768411.0,611819
probe,movingLeaves,0.8524544270833333,0.0,9.0,16.0,35.0,1571244.0,147282
probe,transparentContinuations,0.0,0.0,0.0,0.0,0.0,0.0,0
probe,probePending,0.0,0.0,0.0,0.0,0.0,0.0,0
probe,rays,1.0,1.0,1.0,1.0,1.0,1843200.0,1843200
probe,exhausted,0.0,0.0,0.0,0.0,0.0,0.0,0
probe,cloudTriangles,4.70294921875,0.0,56.0,96.0,208.0,8668476.0,120749
probe,actorTriangles,0.41844129774305555,0.0,0.0,14.0,205.0,771271.0,27239
probe,cloudCandidates,0.15671875,0.0,2.0,3.0,5.0,288864.0,120747
probe,actorCandidates,0.015992296006944445,0.0,0.0,0.0,10.0,29477.0,16365
mask,orbitSteps,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,chords,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,terrainNodes,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,movingNodes,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,terrainTriangles,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,movingTriangles,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,terrainCandidates,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,movingCandidates,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,terrainReuse,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,movingReuse,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,terrainLeaves,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,movingLeaves,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,transparentContinuations,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,probePending,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,rays,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,exhausted,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,cloudTriangles,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,actorTriangles,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,cloudCandidates,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,actorCandidates,0.0,0.0,0.0,0.0,0.0,0.0,0
full,orbitSteps,57.54833767361111,72.0,85.0,114.0,795.0,1.06073096E8,1843200
full,chords,57.56773708767361,72.0,85.0,114.0,795.0,1.06108853E8,1843200
full,terrainNodes,131.9274777560764,90.0,391.0,495.0,1017.0,2.43168727E8,1843200
full,movingNodes,61.059331597222226,51.0,151.0,193.0,768.0,1.1254456E8,1843200
full,terrainTriangles,3.1662825520833335,0.0,16.0,20.0,108.0,5836092.0,611819
full,movingTriangles,5.860919596354167,0.0,60.0,114.0,262.0,1.0802847E7,147282
full,terrainCandidates,0.33159993489583334,0.0,1.0,1.0,3.0,611205.0,610221
full,movingCandidates,0.1651877170138889,0.0,2.0,3.0,10.0,304474.0,137079
full,terrainReuse,52.00085286458334,68.0,80.0,100.0,767.0,9.5847972E7,1834285
full,movingReuse,53.740749240451386,68.0,82.0,109.0,776.0,9.9054949E7,1843006
full,terrainLeaves,0.4168896484375,0.0,2.0,3.0,16.0,768411.0,611819
full,movingLeaves,0.9776893446180556,0.0,10.0,21.0,40.0,1802077.0,147282
full,transparentContinuations,0.0193994140625,0.0,0.0,1.0,1.0,35757.0,35757
full,probePending,0.0,0.0,0.0,0.0,0.0,0.0,0
full,rays,1.0,1.0,1.0,1.0,1.0,1843200.0,1843200
full,exhausted,0.0,0.0,0.0,0.0,0.0,0.0,0
full,cloudTriangles,5.442478298611111,0.0,60.0,114.0,262.0,1.0031576E7,120749
full,actorTriangles,0.41844129774305555,0.0,0.0,14.0,205.0,771271.0,27239
full,cloudCandidates,0.14919542100694444,0.0,2.0,3.0,5.0,274997.0,120747
full,actorCandidates,0.015992296006944445,0.0,0.0,0.0,10.0,29477.0,16365
